Region,Council,Swim site,Date,Time,Water temperature (°C),Latitude,Longitude
Sydney City,Waverley Council,Bondi Beach,14/06/2024,06:44:00,18,-33.891157000,151.278267000
Sydney City,Randwick City Council,Clovelly Beach,14/06/2024,07:27:00,18,-33.914578000,151.267659000
Sydney City,Randwick City Council,South Maroubra Rockpool,14/06/2024,08:31:00,18,-33.953515000,151.258009000
Sydney City,Randwick City Council,South Maroubra Beach,14/06/2024,08:30:00,18,-33.951378000,151.257322000
Sydney City,Waverley Council,Bronte Beach,14/06/2024,07:17:00,18,-33.903087000,151.268790000
Sydney City,Randwick City Council,Coogee Beach,05/06/2024,07:51:00,17,-33.920760000,151.258170000
Sydney City,Randwick City Council,Malabar Beach,05/06/2024,08:45:00,16,-33.964360000,151.252247000
Sydney City,Waverley Council,Tamarama Beach,05/06/2024,07:02:00,17,-33.900805000,151.270734000
Sydney City,Waverley Council,Bondi Beach,05/06/2024,06:43:00,17,-33.891157000,151.278267000
Sydney City,Randwick City Council,Maroubra Beach,05/06/2024,08:12:00,17,-33.948896000,151.257459000
Sydney City,Randwick City Council,Gordons Bay (East),05/06/2024,07:38:00,17,-33.915646000,151.264558000
Sydney City,Randwick City Council,Little Bay Beach,05/06/2024,08:59:00,17,-33.979882000,151.251417000
Sydney City,Randwick City Council,South Maroubra Rockpool,05/06/2024,08:28:00,17,-33.953515000,151.258009000
Sydney City,Randwick City Council,South Maroubra Beach,05/06/2024,08:27:00,17,-33.951378000,151.257322000
Sydney City,Waverley Council,Bronte Beach,05/06/2024,07:17:00,17,-33.903087000,151.268790000
Sydney City,Randwick City Council,Clovelly Beach,05/06/2024,07:29:00,17,-33.914578000,151.267659000
Sydney City,Randwick City Council,Little Bay Beach,29/05/2024,09:24:00,17,-33.979882000,151.251417000
Sydney City,Waverley Council,Bronte Beach,29/05/2024,07:14:00,17,-33.903087000,151.268790000
Sydney City,Randwick City Council,Clovelly Beach,29/05/2024,07:40:00,16,-33.914578000,151.267659000
Sydney City,Randwick City Council,Coogee Beach,29/05/2024,08:01:00,17,-33.920760000,151.258170000
Sydney City,Randwick City Council,South Maroubra Rockpool,29/05/2024,08:44:00,17,-33.953515000,151.258009000
Sydney City,Waverley Council,Tamarama Beach,29/05/2024,06:57:00,16,-33.900805000,151.270734000
Sydney City,Waverley Council,Bondi Beach,29/05/2024,06:37:00,16,-33.891157000,151.278267000
Sydney City,Randwick City Council,Gordons Bay (East),29/05/2024,07:43:00,17,-33.915646000,151.264558000
Sydney City,Randwick City Council,Malabar Beach,29/05/2024,09:06:00,16,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Beach,29/05/2024,08:44:00,17,-33.951378000,151.257322000
Sydney City,Waverley Council,Bronte Beach,23/05/2024,07:15:00,17,-33.903087000,151.268790000
Sydney City,Waverley Council,Tamarama Beach,23/05/2024,06:58:00,16,-33.900805000,151.270734000
Sydney City,Randwick City Council,Coogee Beach,23/05/2024,07:47:00,17,-33.920760000,151.258170000
Sydney City,Randwick City Council,Malabar Beach,23/05/2024,09:04:00,17,-33.964360000,151.252247000
Sydney City,Waverley Council,Bondi Beach,23/05/2024,06:36:00,17,-33.891157000,151.278267000
Sydney City,Randwick City Council,South Maroubra Rockpool,23/05/2024,08:45:00,17,-33.953515000,151.258009000
Sydney City,Randwick City Council,Maroubra Beach,23/05/2024,08:23:00,17,-33.948896000,151.257459000
Sydney City,Randwick City Council,Little Bay Beach,23/05/2024,09:44:00,17,-33.979882000,151.251417000
Sydney City,Randwick City Council,Clovelly Beach,23/05/2024,07:28:00,17,-33.914578000,151.267659000
Sydney City,Randwick City Council,South Maroubra Beach,23/05/2024,08:44:00,17,-33.951378000,151.257322000
Sydney City,Randwick City Council,Gordons Bay (East),23/05/2024,07:37:00,17,-33.915646000,151.264558000
Sydney City,Randwick City Council,Malabar Beach,17/05/2024,09:18:00,19,-33.964360000,151.252247000
Sydney City,Waverley Council,Bondi Beach,17/05/2024,06:47:00,19,-33.891157000,151.278267000
Sydney City,Randwick City Council,South Maroubra Rockpool,17/05/2024,09:00:00,19,-33.953515000,151.258009000
Sydney City,Randwick City Council,South Maroubra Beach,17/05/2024,08:45:00,19,-33.951378000,151.257322000
Sydney City,Randwick City Council,Maroubra Beach,17/05/2024,08:35:00,19,-33.948896000,151.257459000
Sydney City,Randwick City Council,Little Bay Beach,17/05/2024,09:30:00,19,-33.979882000,151.251417000
Sydney City,Waverley Council,Tamarama Beach,17/05/2024,07:08:00,19,-33.900805000,151.270734000
Sydney City,Randwick City Council,Coogee Beach,17/05/2024,08:06:00,19,-33.920760000,151.258170000
Sydney City,Randwick City Council,Gordons Bay (East),17/05/2024,07:52:00,19,-33.915646000,151.264558000
Sydney City,Randwick City Council,Clovelly Beach,17/05/2024,07:43:00,18,-33.914578000,151.267659000
Sydney City,Waverley Council,Bronte Beach,17/05/2024,07:28:00,19,-33.903087000,151.268790000
Sydney City,Randwick City Council,South Maroubra Beach,13/05/2024,08:53:00,19,-33.951378000,151.257322000
Sydney City,Waverley Council,Bondi Beach,13/05/2024,06:48:00,19,-33.891157000,151.278267000
Sydney City,Randwick City Council,Maroubra Beach,13/05/2024,08:41:00,19,-33.948896000,151.257459000
Sydney City,Waverley Council,Bronte Beach,13/05/2024,07:31:00,19,-33.903087000,151.268790000
Sydney City,Randwick City Council,Clovelly Beach,13/05/2024,07:48:00,19,-33.914578000,151.267659000
Sydney City,Randwick City Council,Malabar Beach,13/05/2024,09:13:00,19,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Rockpool,13/05/2024,08:55:00,20,-33.953515000,151.258009000
Sydney City,Randwick City Council,Gordons Bay (East),13/05/2024,07:57:00,19,-33.915646000,151.264558000
Sydney City,Randwick City Council,Coogee Beach,13/05/2024,08:12:00,19,-33.920760000,151.258170000
Sydney City,Waverley Council,Tamarama Beach,13/05/2024,07:11:00,18,-33.900805000,151.270734000
Sydney City,Randwick City Council,Little Bay Beach,13/05/2024,09:30:00,19,-33.979882000,151.251417000
Sydney City,Waverley Council,Bronte Beach,07/05/2024,07:36:00,20,-33.903087000,151.268790000
Sydney City,Randwick City Council,Gordons Bay (East),07/05/2024,08:08:00,20,-33.915646000,151.264558000
Sydney City,Waverley Council,Bondi Beach,07/05/2024,06:56:00,20,-33.891157000,151.278267000
Sydney City,Randwick City Council,South Maroubra Beach,07/05/2024,09:03:00,20,-33.951378000,151.257322000
Sydney City,Randwick City Council,Little Bay Beach,07/05/2024,09:50:00,20,-33.979882000,151.251417000
Sydney City,Randwick City Council,Malabar Beach,07/05/2024,09:37:00,20,-33.964360000,151.252247000
Sydney City,Waverley Council,Tamarama Beach,07/05/2024,07:17:00,20,-33.900805000,151.270734000
Sydney City,Randwick City Council,Coogee Beach,07/05/2024,08:23:00,20,-33.920760000,151.258170000
Sydney City,Randwick City Council,Clovelly Beach,07/05/2024,07:54:00,20,-33.914578000,151.267659000
Sydney City,Randwick City Council,Maroubra Beach,07/05/2024,08:49:00,20,-33.948896000,151.257459000
Sydney City,Randwick City Council,South Maroubra Rockpool,07/05/2024,09:07:00,20,-33.953515000,151.258009000
